,DB WEBSITE IMPORT COLUMN - from excel ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,additional columns for internal USE or explanations ( for understanding logic & structure) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIQUE WEBSITE PRODUCT,,,"UNIQUE DB LINE - CODE - 
(EXCEL )",,SHOP product name,,,"internal columns 
for understanding products structure ",,,PRODUCT CART NAME ,,,centimeters,,,,,,,,,,inches,,,,,,,,,,CHILD TEXT DESCRIPTION ,,,PARENT TEXT DESCRIPTION ,,,,,,PRICES BY CATEGORIES ,,,,,,,,,,,,,,,,,,,,,,,
"CRT
PRODUCT:",Picture,unique FINISH and UPHOLSTER,"CHILD 
 CODE
 - UNIQUE DB LINE","PARENT 
 CODE
( CODE THAT  
appears in the  shop
produc list )","SHOP
name-it ","SHOP
name-en","SHOP
name-ru",SIZE,fix /ext,H,name-it,name-en,name-ru,length cm,/length cm,diametr cm,/diametr cm,width cm,/width cm,height cm,/height cm,MATTRESS cm,NICHE cm,length inch,/length inch,diametr inch,/diametr inch,width inch,/width inch,height inch,/height inch,MATTRESS inch,NICHE inch,child description it,child description en,child description ru,parent description it,parent description en,parent description ru,LPH+dim materass PRICE,TESSUT CL - PRICE,PELLE CL - PRICE,T1-F1,T1-F2,T1-F3,T1-F4,T2-F1,T2-F2,T2-F3,T2-F4,T3-F1,T3-F2,T3-F3,T3-F4,T4-F1,T4-F2,T4-F3,T4-F4,TP-F1,TP-F2,TP-F3,TP-F4,TCl-F1,TCl-F2,TCl-F3,TCl-F4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"ФОТО 1, ",,BN8830,BNLettoDOUBLE,Letto,Bed,Кровать,1600,,,Letto 160,Bed 160,Кровать 160,192,,,,217,,130,,(160x200),,488,,,,450,,130,,(160x200),,,,,,,,L192 P217 H130 (160x200),"2,5ml","3,4m²",5702,,,,6032,,,,6692,,,,7685,,,,7794,,,,5151,,,
2,ФОТО 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ФОТО 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ФОТО 1,,BN8831,,,,,1800,,,Letto 180,Bed 180,Кровать 180,211,,,,217,,130,,(180x200),,536,,,,217,,130,,(180x200),,,,,,,,L211 P217 H130 (180x200),"2,8ml","3,8m²",6830,,,,7161,,,,7822,,,,8813,,,,8924,,,,6279,,,
4,ФОТО 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ФОТО 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,